35 mm,40 mm,45 mm ,50 mm ,55 mm,60 mm,65 mm,70 mm,75 mm,80 mm,85 mm,90 mm,95 mm,100 mm
0.3125,0.5625,0.125,0,0,0,0,0,0,0,0,0,0,0
0.466666667,0.533333333,0,0,0,0,0,0,0,0,0,0,0,0
0.473684211,0.526315789,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.533333333,0.066666667,0,0,0,0,0,0,0,0,0,0,0
0.368421053,0.473684211,0.105263158,0,0.053,0,0,0,0,0,0,0,0,0
0.263157895,0.526315789,0.157894737,0.053,0,0,0,0,0,0,0,0,0,0
0.384615385,0.615384615,0,0,0,0,0,0,0,0,0,0,0,0
0.214285714,0.642857143,0.071428571,0.071,0,0,0,0,0,0,0,0,0,0
0.3125,0.625,0.0625,0,0,0,0,0,0,0,0,0,0,0
0.235294118,0.588235294,0.117647059,0.059,0,0,0,0,0,0,0,0,0,0
0.2,0.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0
0.105263158,0.526315789,0.210526316,0.158,0,0,0,0,0,0,0,0,0,0
0.157894737,0.473684211,0.315789474,0.053,0,0,0,0,0,0,0,0,0,0
0.035714286,0.321428571,0.25,0.143,0.143,0,0,0.071,0.036,0,0,0,0,0
0.048780488,0.195121951,0.219512195,0.195,0.22,0.098,0.024,0,0,0,0,0,0,0
0,0.055555556,0.111111111,0.194,0.25,0.25,0.083,0.028,0.028,0,0,0,0,0
0,0.058823529,0.235294118,0.235,0.235,0.059,0.176,0,0,0,0,0,0,0
0,0.02,0.12,0.18,0.18,0.16,0.16,0.08,0.04,0.04,0.02,0,0,0
0,0.040816327,0.142857143,0.204,0.204,0.204,0.122,0.061,0.02,0,0,0,0,0
0,0.072727273,0.163636364,0.182,0.182,0.182,0.109,0.055,0.055,0,0,0,0,0
0,0.020408163,0.081632653,0.204,0.204,0.204,0.163,0.102,0,0.02,0,0,0,0
0,0,0.0625,0.125,0.146,0.188,0.167,0.167,0.083,0.063,0,0,0,0
0,0.023809524,0.023809524,0.024,0.119,0.214,0.214,0.19,0.119,0.048,0.024,0,0,0
0,0,0,0.023,0.068,0.182,0.182,0.205,0.159,0.159,0.023,0,0,0
0,0,0,0.063,0.094,0.063,0.25,0.25,0.125,0.063,0.063,0.031,0,0
0,0,0,0,0,0,0.111,0.111,0.222,0.333,0.111,0.056,0.056,0
0,0,0,0,0.067,0,0.067,0.133,0.2,0.133,0,0.267,0.067,0.067
0,0,0,0,0,0,0,0.333,0.333,0,0.333,0,0,0